endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;1
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;1
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;1
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;1
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;1
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;1
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;1
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;1
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;1
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;1
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;1
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;1
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;1
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;1
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;1
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;1
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;1
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;1
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;1
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;1
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;1
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;1
Rua Minerva, 268 - Perdizes, São Paulo - SP;0.0;41;1;0;1;1
